"","id","baseMeanA","baseMeanB","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ZN1","ZN2","ZN3","ZP1","ZP2","ZP3","gene_name"
"1","ENSG00000198732",3653.89738956362,1576.44600303312,2615.17169629837,-1.17807300713471,0.104040416182326,-11.3232246694419,1.00698341595402e-29,2.78416105931639e-27,4164,4598,3954,1255,1571,1342,"SMOC1"
"2","ENSG00000184357",48666.0178432889,22615.228756412,35640.6232998505,-1.07836379630519,0.096666641304162,-11.155490474859,6.73205451442291e-29,1.75790773507868e-26,51812,65669,52468,16374,24359,19521,"H1-5"
"3","ENSG00000116030",14390.8527601033,6660.22324290268,10525.538001503,-1.07987231221536,0.103428431792667,-10.44076849565,1.61497960864079e-25,3.37369240245062e-23,16073,19262,14976,4937,7566,5280,"SUMO1"
"4","ENSG00000278463",13921.6857753263,6754.40219079373,10338.04398306,-1.01697029570547,0.0978592931573254,-10.3921688262198,2.69161838312444e-25,5.56100189243106e-23,15847,18893,14028,5123,7465,5403,"H2AC4"
"5","ENSG00000274997",34268.0974283499,15893.3416636169,25080.7195459834,-1.07660960717796,0.10403374045803,-10.348658064566,4.24392382043254e-25,8.34419439210294e-23,38882,46049,34989,11054,18326,13188,"H2AC12"
"6","ENSG00000140287",1130.26072703756,386.432114922055,758.346420979806,-1.4571173000456,0.148526358262929,-9.81049637981522,1.01468187773962e-22,1.65887252029414e-20,1211,1675,1097,342,369,304,"HDC"
"7","ENSG00000263731",1357.99665338783,540.196961448896,949.096807418363,-1.26078993168186,0.137163007592395,-9.19190934795279,3.85929244731752e-20,5.07402498615502e-18,1524,1961,1297,363,597,485,"AC145207"
"8","ENSG00000198885",2954.10164729154,1428.48679624933,2191.29422177044,-1.00700656105917,0.120031320349859,-8.38953164993953,4.88082673171878e-17,4.88108635016195e-15,3511,3416,3301,1050,1547,1208,"ITPRIPL1"
"9","ENSG00000258429",1743.09947134438,671.005335780739,1207.05240356256,-1.26986446131625,0.166710722239126,-7.61717329431748,2.59291126682329e-14,1.91173822460959e-12,2127,2401,1604,374,653,766,"PDF"
"10","ENSG00000204542",1133.8488187612,524.164726560033,829.006772660617,-1.0506504432285,0.141104485422606,-7.4459039348169,9.62828519183485e-14,6.46504963898882e-12,1246,1460,1242,351,592,461,"C6orf15"
"11","ENSG00000111846",1580.35090907407,695.118304386303,1137.73460673019,-1.09997426923209,0.159163317169878,-6.9109785394713,4.81321875242182e-12,2.63061993500821e-10,1786,2267,1510,419,903,562,"GCNT2"
"12","ENSG00000221944",182.022943195632,21.3423526230246,101.682647909328,-2.0153091259417,0.29388613280461,-6.85744885853995,7.01011075684827e-12,3.76563120970013e-10,147,413,109,21,22,13,"TIGD1"
