"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"7SK",149424.100698912,0.286482515260564,3.72495922366784,0.0769088996841352,0.938696017595585,0.99882213502179
"7SLRNA",37.5486016567919,0.154456847773671,0.38176585553741,0.404585285806251,0.685782376139557,0.99882213502179
"A1BG",2.32900185874343,-0.435355581099816,1.39691988974339,-0.311653935416289,0.755303539639536,NA
"A2M",156.002280000755,1.22260391784654,1.65391751816684,0.739216982961549,0.459775249913948,0.99882213502179
"A4GALT",1.34289442470422,-0.0444625575376808,2.17717919045793,-0.0204220937498163,0.983706659260934,NA
"AAAS",32.7745023560572,-0.36214069544931,0.45096602198677,-0.80303321712325,0.421955535600414,0.99882213502179
"AACS",8.26417134249616,0.45526031152315,0.730510933507297,0.623208073474512,0.533147796979933,0.99882213502179
"AADAT",5.87975176201404,-0.468435885618123,1.07100778557591,-0.437378599788824,0.661836801418842,NA
"AAED1",14.4320095033064,0.148437993450738,0.670324168536839,0.221442102818317,0.824748212719847,0.99882213502179
"AAGAB",19.3105384788799,0.166595320131481,0.51327699543851,0.324571959413752,0.745505052311423,0.99882213502179
"AAK1",1.99820016597612,0.458855093678152,1.36998360038894,0.334934734655132,0.737674319421257,NA
"AAMDC",21.4418019161209,0.0902543364228675,0.476902612414493,0.189251084127893,0.849896031652025,0.99882213502179
"AAMP",61.7126481915307,-0.157396556037987,0.323438195138137,-0.486635649109917,0.626516555672362,0.99882213502179
"AAR2",20.0741929971355,0.197230973562104,0.481459789891866,0.409652016020696,0.682061234035221,0.99882213502179
"AARD",0.16492571442292,0.944884075392947,4.0804728567969,0.231562396945991,0.816877916572544,NA
"AARS",71.5518355682105,-0.187389402524716,0.330138152918685,-0.567609047509487,0.570300462324746,0.99882213502179
"AARS2",12.0879349943784,0.343045225838814,0.592431064915737,0.579046653955607,0.56255769380618,0.99882213502179
"AARSD1",11.5677004900103,-0.00854676697798969,0.646448201466246,-0.0132211164925578,0.98945138258764,0.99882213502179
"AASDH",6.15394563635849,0.0559724987423728,0.822096883557134,0.0680850394422919,0.945717939515529,NA
"AASDHPPT",23.5561030535804,-0.345089098527706,0.549041419201239,-0.628530173606486,0.529656686632788,0.99882213502179
"AASS",15.9664804034881,-1.5239989651001,1.0422543524166,-1.46221405702601,0.143682560749203,0.99882213502179
"AATF",33.4428211040346,-0.156226595899596,0.519693601415227,-0.300612890892173,0.763709700390574,0.99882213502179
"AATK",3.59946457380485,1.45455710327799,2.56932429609891,0.566124371877262,0.571309236565361,NA
"ABAT",14.0945658165112,-0.669101667843865,1.30086980764983,-0.514349448276208,0.607007695699586,0.99882213502179
"ABCA1",6.45200200073117,3.53436250119994,1.77094348736346,1.99575114983585,0.0459610164628711,NA
"ABCA12",0.16474973549015,0.944884075392948,4.0804728567969,0.231562396945991,0.816877916572543,NA
"ABCA13",0.16474973549015,0.944884075392948,4.0804728567969,0.231562396945991,0.816877916572543,NA
"ABCA2",7.83124427663504,-0.582251123836339,0.821369685671423,-0.708878272467995,0.478400019423387,0.99882213502179
"ABCA3",12.2281321172194,-1.53539928774418,0.753540913758934,-2.03757919405472,0.0415920345347513,0.873380836470099
"ABCA5",2.38049973192485,-1.37896352683888,1.9586652110683,-0.704032276188112,0.481412673624578,NA
"ABCA7",0.657754891368657,0.000427530293823868,2.5857561520242,0.000165340530463086,0.99986807734407,NA
"ABCA8",0.16474973549015,0.944884075392948,4.0804728567969,0.231562396945991,0.816877916572543,NA
"ABCB1",0,NA,NA,NA,NA,NA
"ABCB10",9.54573324004814,-0.502000522767036,0.769840982626461,-0.652083396566346,0.514347374381447,0.99882213502179
"ABCB4",0,NA,NA,NA,NA,NA
"ABCB6",23.2462618469146,-0.309921526256666,0.568508113679492,-0.545148818107089,0.585651169445571,0.99882213502179
"ABCB7",13.4334553422311,-0.481679083773578,0.561483530872675,-0.857868587926234,0.39096503120592,0.99882213502179
"ABCB8",9.92027217306062,0.376140075739407,0.676332145781275,0.55614697317825,0.578110385704855,0.99882213502179
"ABCB9",3.64306959519477,1.08211887846251,1.12498098559576,0.961899705255414,0.336099986651733,NA
"ABCC1",6.4502280108065,0.210699598947837,0.804157582072072,0.262012823910616,0.793311555429734,NA
"ABCC10",3.15459842322428,0.133269498707956,1.10918527453175,0.120150800563248,0.904363690802081,NA
"ABCC2",0.329675449913071,1.84033642203645,4.03778851011797,0.455778309692273,0.648549403054506,NA
"ABCC3",1.97770074161288,4.42500705067015,2.97237541463968,1.48871068872253,0.136563569135717,NA
"ABCC4",12.2576677939243,0.0639436359426885,0.609720585978537,0.104873670683213,0.916476051486158,0.99882213502179
"ABCC5",11.7786744618984,-0.633400981400764,0.617938067221236,-1.02502340444741,0.305352144517426,0.99882213502179
"ABCC6",0.165022836705117,0.944884075392948,4.0804728567969,0.231562396945991,0.816877916572543,NA
"ABCC9",0,NA,NA,NA,NA,NA
"ABCD1",3.96267588069268,1.91474111375316,1.20156996171604,1.59353277358781,0.111040722118024,NA
"ABCD2",0,NA,NA,NA,NA,NA
"ABCD3",21.6560453757526,0.232566235355398,0.463566632981058,0.501688902542089,0.615886371939074,0.99882213502179
"ABCD4",7.14196488228692,-0.0859963727155903,0.751057673364208,-0.114500358315211,0.908841162373143,0.99882213502179
"ABCE1",22.4114206785125,-0.64548391845311,0.453897132222668,-1.42209296474792,0.154999264869469,0.99882213502179
"ABCF2",66.7618006808891,0.134821447920476,0.42961356684793,0.313820275531938,0.753657544114785,0.99882213502179
"ABCF3",15.0947989285953,0.332452113236996,0.532350912887175,0.6244980616901,0.532300542886298,0.99882213502179
"ABCG1",0,NA,NA,NA,NA,NA
"ABCG2",3.31241954815954,3.11762264728836,2.29672505697709,1.35742092324787,0.174647503756112,NA
"ABCG4",0,NA,NA,NA,NA,NA
"ABHD1",0,NA,NA,NA,NA,NA
"ABHD10",15.099161221887,-0.495347404364402,0.567194190907747,-0.873329473934914,0.38248351984819,0.99882213502179
"ABHD11",18.2477278635461,0.61932888885122,0.555544129357762,1.11481492850477,0.26492973785765,0.99882213502179
"ABHD12",26.0696202771091,0.550024931468768,0.54141652877005,1.01589977815837,0.309677114524341,0.99882213502179
"ABHD13",3.45509897814856,-0.137576702351076,1.13137384265431,-0.121601452291232,0.903214663264651,NA
"ABHD14A",14.3930996733232,0.0227625618627581,0.654681326419708,0.0347689187764694,0.97226400486273,0.99882213502179
"ABHD14B",22.0765933582111,0.394786911130516,0.497337840032724,0.793800268856557,0.427311716120842,0.99882213502179
"ABHD15",5.46486102376161,0.425728487331788,0.848545812103389,0.501715383258431,0.615867741944188,NA
"ABHD17A",22.3021098874034,-0.195267978019841,0.476106860738636,-0.410134770410366,0.681707087645942,0.99882213502179
"ABHD17B",14.2956764873659,0.112513490871744,0.574726650342552,0.19576870292109,0.844791207489327,0.99882213502179
"ABHD17C",5.86986990094976,-2.02765562876052,0.974907279996741,-2.07984458662295,0.0375397900235536,NA
"ABHD2",14.8789679967673,-0.137543837029145,0.591943773965471,-0.232359631232759,0.81625870051004,0.99882213502179
"ABHD3",9.36363983929147,0.158114281785215,0.839787831303959,0.188278843645194,0.850658069091479,0.99882213502179
"ABHD4",15.497973262307,0.758351080704175,0.778747994132417,0.973808069385828,0.330151845725984,0.99882213502179
"ABHD5",5.29485216599001,0.534307168280257,0.903935932916895,0.591089643439785,0.554460358697314,NA
"ABHD6",6.23738439205906,1.49539044708096,1.00028515593185,1.49496414918592,0.134923798810073,NA
"ABHD8",0.660091346820468,2.84179516566681,3.97274760827025,0.715322352658628,0.474409879589471,NA
"ABI1",22.5693020034815,0.621742537344957,0.703614126273095,0.883641351315961,0.376889849292698,0.99882213502179
"ABI2",22.3478987333794,-1.00697278633507,0.532562344037183,-1.89080733478363,0.0586500677129647,0.972129203490387
"ABL1",23.2993846443817,-0.0657973944650154,0.549172472910681,-0.119811894642645,0.904632159259298,0.99882213502179
"ABL2",8.61680666742844,1.28170246380065,0.874059999790138,1.46637812519551,0.142545302325479,0.99882213502179
"ABLIM1",6.27117216797827,-1.48573896868552,1.74671718034889,-0.850589314286559,0.394997527381433,NA
"ABLIM2",0,NA,NA,NA,NA,NA
"ABLIM3",0.817597462442899,1.87945559242457,2.98443120118666,0.629753365290265,0.528855961460443,NA
"ABR",19.8259772726181,-0.790465203802491,0.838096488637747,-0.9431673017594,0.345595335521728,0.99882213502179
"ABRACL",31.1369686495657,0.635878642062387,0.569586702325171,1.11638603827406,0.264256927191912,0.99882213502179
"ABT1",14.3963110137306,-0.377527579723381,0.552075409918138,-0.683833354902297,0.49408040164576,0.99882213502179
"ABTB1",1.32511429464198,0.719603039337001,1.68441217892285,0.427213153847636,0.66922408140326,NA
"ABTB2",2.48472658556637,-1.01190849195382,1.30177103447288,-0.777332161460765,0.436962824888163,NA
"ACAA1",10.6343279436428,0.151866797023028,0.944482590635358,0.160793643555533,0.872255931801048,0.99882213502179
"ACAA2",57.9033087098815,-0.271890695971473,0.350896434904297,-0.774845991369584,0.438430669138464,0.99882213502179
"ACACA",19.5370443834383,-0.405285549118822,0.502952826699995,-0.805812250381425,0.420351113411478,0.99882213502179
"ACACB",3.30267600587481,-0.296799173355205,1.09502809441456,-0.271042519245942,0.786358330162073,NA
"ACAD10",7.63720937133504,0.106854421879163,0.727504368128327,0.146878048518211,0.883228278734074,0.99882213502179
"ACAD11",8.83089860857137,-1.10320119934944,0.775974099571354,-1.42169848189372,0.155113801032471,0.99882213502179
"ACAD8",8.7218930905948,-0.1619485882183,0.840571120837363,-0.192664944349943,0.847221379383511,0.99882213502179
"ACAD9",14.5251809345349,0.389476098528526,0.616559818391892,0.631692314209438,0.527587951216573,0.99882213502179
"ACADM",17.0603729877386,-0.100053578356339,0.76396136677622,-0.130966803699181,0.895801567980061,0.99882213502179
"ACADS",10.2748592154455,0.549010815957679,0.757810233445683,0.724470047681179,0.468777209247347,0.99882213502179
"ACADSB",3.75849776331735,-0.621815583942308,1.32449221433817,-0.469474699217483,0.638730365366762,NA
"ACADVL",77.9058622962626,0.683676609366713,0.345944769213222,1.9762594211833,0.0481254029870459,0.905440039083908
"ACAN",29.8675530233737,2.85295911438168,3.7395291270143,0.76291934558604,NA,NA
"ACAP2",15.1970565932714,0.0547266409181608,0.559947416541087,0.0977353217489934,0.922142467113824,0.99882213502179
"ACAP3",14.6614517240483,-0.426192352543519,0.610258940283365,-0.698379531065325,0.484939873785052,0.99882213502179
"ACAT1",0.995614823661683,-0.0170571799123044,1.8096694233849,-0.00942557778337204,0.992479588364295,NA
"ACAT2",20.8794539908504,-0.85974546235981,0.558328401263432,-1.53985622156119,0.123595404027792,0.99882213502179
"ACBD3",18.2033770183273,0.25095718083572,0.552833579304095,0.45394706513961,0.649866927193997,0.99882213502179
"ACBD4",3.65993034231918,-0.0217863405032265,1.02378884559349,-0.0212801112231273,0.983022209191901,NA
"ACBD5",10.9783922200752,0.0646486866562361,0.656995711432482,0.0984004697919248,0.921614301651707,0.99882213502179
"ACBD6",31.8114535688833,-0.373405054417942,0.502708829470294,-0.742785947904276,0.457611284358249,0.99882213502179
"ACBD7",2.94939172246375,-3.9763081581487,1.89924130367765,-2.09362978282384,0.0362929723476454,NA
"ACCS",0.165022836705117,0.944884075392948,4.0804728567969,0.231562396945991,0.816877916572543,NA
"ACD",11.5982321302359,0.0676043374529482,0.613231127369861,0.110242834121781,0.912216792563239,0.99882213502179
"ACE",0.16474973549015,0.944884075392948,4.0804728567969,0.231562396945991,0.816877916572543,NA
"ACER2",2.33720702657889,1.26936147755558,1.99017315069242,0.637814592722218,0.523594379191664,NA
"ACER3",8.40616405482185,0.870000541711592,0.805281965514852,1.08036759665338,0.279978519308406,0.99882213502179
"ACHE",0.499702573316293,0.877893681804321,4.03784767804976,0.217416245436067,0.827883971957202,NA
"ACIN1",44.484598232901,-0.0609852763166804,0.394751892844604,-0.154490142852051,0.877223282780825,0.99882213502179
"ACKR3",3.53674558167728,-2.13104822716425,1.70754890841964,-1.24801592309093,0.212025226027958,NA
"ACKR4",0,NA,NA,NA,NA,NA
"ACLY",107.9788587006,-0.575898017979487,0.295039909683752,-1.95193259988719,0.0509462072335307,0.932244432515897
"ACN9",15.4857892027613,-0.370808663378588,0.664576582025981,-0.557962277647772,0.57687014332237,0.99882213502179
"ACO1",27.0208722221999,0.685196616266584,0.456846743211571,1.4998391177088,0.1336560817415,0.99882213502179
"ACO2",78.8236573292892,0.363564016105954,0.577654857668808,0.629379310637425,0.529100759532302,0.99882213502179
"ACOT1",0.500248775746226,0.879971490188576,4.03766207389058,0.217940846481157,0.827475201110776,NA
"ACOT11",0.170203102335992,-0.978669276249542,4.0804728567969,-0.239842123840956,0.810452649767396,NA
"ACOT13",9.46048465090126,0.235107012809197,0.709171377227467,0.331523550384052,0.740249055178272,0.99882213502179
"ACOT2",4.29187216359327,0.91040039064191,1.12346221501491,0.810352478681118,0.417737621844512,NA
"ACOT4",0,NA,NA,NA,NA,NA
"ACOT7",41.808311352927,0.141744334036028,0.491549356441112,0.288362363165883,0.773069374486197,0.99882213502179
"ACOT8",19.1385947345971,1.08906489976613,0.631592465975399,1.72431584991159,0.0846508395005047,0.99882213502179
"ACOT9",35.2559198592288,0.329982597830975,0.456750497106754,0.722457008632111,0.470013547975644,0.99882213502179
"ACOX1",19.676997016867,0.0626458208097268,0.497116569029251,0.126018372173873,0.899717381619939,0.99882213502179
"ACOX2",9.73815636211212,0.341840679799559,1.74063438993515,0.196388559123146,0.844306050398959,0.99882213502179
"ACOX3",5.82531999247297,0.22245343641491,0.916005507223288,0.242851636437469,0.808120332587366,NA
"ACP1",69.9206282486913,0.0805715111447226,0.359144296165505,0.224343006432135,0.822490414615786,0.99882213502179
"ACP2",14.3864921396502,0.912858071393891,0.570658287007809,1.59965796024863,0.109674482833671,0.99882213502179
"ACP5",0.989766796733538,3.42626417644189,2.72832181419203,1.25581379682534,0.209183488204407,NA
"ACP6",10.8302029602686,1.01376805625647,0.937003729775181,1.0819253158146,0.279285714852654,0.99882213502179
"ACRC",0,NA,NA,NA,NA,NA
"ACSBG1",3.23695974622827,-3.13786761605088,2.31851754717413,-1.35339394772983,0.175929809932734,NA
"ACSF2",11.5723878443867,-0.00875812221624668,1.37156654672263,-0.00638548835794683,0.994905152049312,0.998929429151808
